name,number,status
Procedure for Adding New Modules,2,Active
Flexible function and variable annotations,593,Accepted
User-Defined Type Guards,647,Accepted
Allow writing union types as X | Y,604,Accepted
Filename of a Source Distribution,625,Accepted
Explicit Type Aliases,613,Accepted
Adding a final qualifier to typing,591,Accepted
Vectorcall: a fast calling protocol for CPython,590,Accepted
TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,589,Accepted
Variadic Generics,646,Accepted
Python Runtime Audit Hooks,578,Accepted
Literal Types,586,Accepted
Support for the IANA Time Zone Database in the Standard Library,615,Accepted
Organization of the Python community,8015,Rejected
The Commons Governance Model,8014,Rejected
The Community Governance Model,8012,Rejected
Secure PyPI downloads with signed repository metadata,458,Accepted
The Technical Leader Governance Model,8010,Rejected
Asynchronous IO support,3153,Superseded
Cofunctions,3152,Rejected
Postponed Evaluation of Annotations,563,Accepted
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
Cleaning out sys and the “interpreter” module,3139,Rejected
Merging Unladen Swallow into CPython,3146,Withdrawn
Introducing Roles,3133,Rejected
Deferred Evaluation Of Annotations Using Descriptors,649,Accepted
Access to Current Module/Class/Function,3130,Rejected
The External Council Governance Model,8013,Rejected
BList: A Faster List-like Type,3128,Rejected
Remove Implicit String Concatenation,3126,Rejected
"str(container) should call str(item), not repr(item)",3140,Rejected
Remove Backslash Continuation,3125,Rejected
Delineation of the main module,3122,Rejected
Postfix type declarations,3117,Rejected
Labeled break and continue,3136,Rejected
Callable Modules,713,Rejected
A Switch/Case Statement,3103,Rejected
Dependency specification for single-file scripts,722,Rejected
A simplified signature for __exit__ and __aexit__,707,Rejected
Require virtual environments by default for package installers,704,Withdrawn
Add a “while” clause to generator expressions,3142,Rejected
Reject Foolish Indentation,666,Rejected
Procedure for reviewing and improving standard library modules,3001,Withdrawn
IEEE 754 Floating Point Special Values,754,Rejected
Callable Type Syntax,677,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
Robust Stack Overflow Handling,651,Rejected
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Allow writing optional types as x?,645,Withdrawn
Extensible customizations of the interpreter at startup,648,Rejected
Using an underscore in the version portion of Python 3.10 compatibility tags,641,Rejected
Unused variable syntax,640,Rejected
Explicit Pattern Syntax for Structural Pattern Matching,642,Rejected
Lazy Imports,690,Rejected
Stricter Type Guards,724,Withdrawn
Dependency specification in pyproject.toml based on PEP 508,631,Superseded
Dependency specification in pyproject.toml using an exploded TOML table,633,Rejected
Support for indexing with keyword arguments,637,Rejected
Structural Pattern Matching,622,Superseded
The one million limit,611,Withdrawn
Editable installs via virtual wheels,662,Rejected
Coordinated Python release,608,Rejected
Forbid return/break/continue breaking out of finally,601,Rejected
Python Compatibility Version,606,Rejected
Improving bugs.python.org,595,Withdrawn
A rolling feature release stream for CPython,605,Rejected
Specifying Installer Requirements for Python Projects,650,Withdrawn
The manylinux2014 Platform Tag,599,Superseded
Introducing incremental feature releases,598,Withdrawn
The C call protocol,580,Rejected
A Concurrency Memory Model for Python,583,Withdrawn
Built-in noop(),559,Rejected
Rationalize Built-in function classes,576,Withdrawn
The manylinux2010 Platform Tag,571,Superseded
Augmented Assignment Expressions,577,Withdrawn
Python local packages directory,582,Rejected
Context-local variables (contextvars),555,Withdrawn
Unifying function/method classes,575,Withdrawn
Hide implementation details from the C API,620,Withdrawn
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
Dot Notation Assignment In Function Header,542,Rejected
Final Grammar for Literal String Interpolation,536,Withdrawn
Execution Context,550,Withdrawn
Allow BlockingIOError in security sensitive APIs,522,Rejected
More Flexible Loop Control,548,Rejected
A Unified TLS API for Python,543,Withdrawn
Build system abstraction for pip/conda etc,516,Rejected
A Platform Tag for Portable Linux Built Distributions,513,Superseded
Managing global context via ‘with’ blocks in generators and coroutines,521,Withdrawn
Multiple Interpreters in the Stdlib,554,Superseded
Specialize functions with guards,510,Rejected
Add a private version to dict,509,Superseded
A protocol for delegating datetime methods to their tzinfo implementations,500,Rejected
Security transparency in the Python runtime,551,Withdrawn
Instance Descriptors,549,Rejected
A standard mechanism for backward compatibility,497,Rejected
Using the System RNG by default,504,Withdrawn
String Interpolation - Extended Discussion,502,Rejected
API for code transformers,511,Rejected
"Migrate CPython to Git, Github, and Phabricator",481,Withdrawn
Adding structured data to built-in exceptions,473,Rejected
Existence checking operators,531,Withdrawn
Creating forge.python.org,474,Withdrawn
Migration of dict iteration code to Python 3,469,Withdrawn
Environment Markers,496,Rejected
Add binary interpolation and formatting,460,Withdrawn
Standard Metadata Extensions for Python Software Packages,459,Withdrawn
Adding a key-transforming dictionary to collections,455,Rejected
Inclusion of implicit pip bootstrap in Python installation,439,Rejected
Chain exceptions at C level,490,Rejected
"A DSL for specifying signatures, annotations and argument converters",437,Rejected
